table,sample,outcome,label,cmean,itt,itt_se,itt_p,n,paper_cmean,paper_itt,late,late_se,late_p,paper_late,panel,domain,component_se_mean,paper_se,paper_p,paper_p_initial_vs_six,paper_p_six_vs_main,paper_p_initial_vs_main
table3,full_sample,ohp_all_ever_matchn_30sep2009,Ever on Medicaid,0.14096877217885026,0.25586578845763913,0.0035091501073743507,0.0,74922,0.141,0.256,,,,,,,,,,,,
table3,survey_responders,ohp_all_ever_firstn_30sep2009,Ever on Medicaid,0.13502190798763172,0.29024603148967815,0.006646771197501493,0.0,23741,0.135,0.29,,,,,,,,,,,,
table3,full_sample,ohp_std_ever_matchn_30sep2009,Ever on OHP Standard,0.02654808374733854,0.26449786863499525,0.0029455478787467236,0.0,74922,0.027,0.264,,,,,,,,,,,,
table3,survey_responders,ohp_std_ever_firstn_30sep2009,Ever on OHP Standard,0.026327136015869116,0.3015927266267598,0.005475828448925714,0.0,23741,0.026,0.302,,,,,,,,,,,,
table3,full_sample,ohp_all_mo_matchn_30sep2009,# months on Medicaid,1.4075807310149042,3.3549937957784373,0.045062624860895795,0.0,74922,1.408,3.355,,,,,,,,,,,,
table3,survey_responders,ohp_all_mo_firstn_30sep2009,# months on Medicaid,1.508616549173824,3.942737714743539,0.0896247736644304,0.0,23741,1.509,3.943,,,,,,,,,,,,
table3,full_sample,ohp_all_end_30sep2009,"On Medicaid, end of study period",0.1057709368346345,0.14813923617178268,0.003111519925842883,0.0,74922,0.106,0.148,,,,,,,,,,,,
table3,survey_responders,ohp_all_end_30sep2009,"On Medicaid, end of study period",0.10452940417711866,0.18899405592892224,0.006051021242104616,2.2812983356466815e-209,23741,0.105,0.189,,,,,,,,,,,,
table3,survey_responders,ins_any_12m,Currently have any insurance (self-report),0.325170887897899,0.1787573835620332,0.007662304771636609,7.612568774572895e-119,23350,0.325,0.179,,,,,,,,,,,,
table3,survey_responders,ins_private_12m,Currently have private insurance (self-report),0.12828627705420448,-0.007642960343249583,0.005320949144585662,0.1509064012945745,23350,0.128,-0.0076,,,,,,,,,,,,
table3,survey_responders,ins_ohp_12m,Currently on Medicaid (self-report),0.11685134674660541,0.19663506763531605,0.0062613084279998,1.5823856069313093e-211,23350,0.117,0.197,,,,,,,,,,,,
table3,survey_responders,ohp_all_at_12m,Currently on Medicaid,0.10465859407279833,0.1905541808348478,0.006041841726947857,2.367550307154014e-213,23741,0.105,0.191,,,,,,,,,,,,
table3,full_sample,tanf_ever_matchn_30sep2009,Ever on TANF,0.03069552874378992,0.001911961241594663,0.0014202813470024567,0.17824750429425515,74922,0.031,0.0011,,,,,,,,,,,,
table3,survey_responders,tanf_ever_firstn_survey12m,Ever on TANF,0.023157232845047743,0.002152564113963767,0.0025020199003463763,0.389616691174107,23741,0.023,0.0019,,,,,,,,,,,,
table3,full_sample,tanf_tot_hh_30sep2009,TANF benefits ($),124.04866948889303,2.338209797129768,6.527016516813986,0.720168133196615,74922,124.0,-1.659,,,,,,,,,,,,
table3,survey_responders,tanf_tot_hh_firstn_survey12m,TANF benefits ($),99.68629102983297,4.280552911649709,11.960696728249978,0.7204330393462162,23741,100.0,-4.991,,,,,,,,,,,,
table3,full_sample,snap_ever_matchn_30sep2009,Ever on food stamps,0.6056156848828956,0.028036459505474193,0.004038962369257167,3.915028213626472e-12,74922,0.606,0.017,,,,,,,,,,,,
table3,survey_responders,snap_ever_firstn_survey12m,Ever on food stamps,0.621896649125446,0.02683013132806534,0.007692362835278467,0.00048784084216632807,23741,0.622,0.023,,,,,,,,,,,,
table3,full_sample,snap_tot_hh_30sep2009,Food stamp benefits ($),1776.2812721788503,95.36292508308797,20.6855709136418,4.0318871636275095e-06,74922,1776.0,61.3,,,,,,,,,,,,
table3,survey_responders,snap_tot_hh_firstn_survey12m,Food stamp benefits ($),2202.2394449728477,96.99472081468765,46.48162123534979,0.03692433445435305,23741,2202.0,122.4,,,,,,,,,,,,
table5,,rx_any_12m,Prescription drugs currently,0.6374599145211164,0.025213638045217368,0.00831941399642681,0.0024436638104006025,18308,0.637,0.025,0.08777651434700486,0.02877064575840924,0.0022815255606858376,0.088,,,,,,,,
table5,,doc_any_12m,Outpatient visits last 6m,0.5744841930537296,0.06174331053317458,0.007435009800022239,1.0638868961058897e-16,23492,0.574,0.062,0.21244530411587448,0.025212247690982372,0.0,0.212,,,,,,,,
table5,,er_any_12m,ER visits last 6m,0.26116299053447567,0.00647513895268612,0.006720856157841871,0.33533815821750046,23514,0.261,0.0065,0.022333348074321236,0.023125753510972027,0.334176833414662,0.022,,,,,,,,
table5,,hosp_any_12m,Inpatient hosp. admissions last 6m,0.07230917610498168,0.0022370070730411925,0.003962250779211292,0.5723656233186214,23573,0.072,0.0022,0.007690455988238752,0.013599348767665616,0.5717325112475165,0.0077,,,,,,,,
table5,,rx_num_mod_12m,# Prescription drugs,2.3183197363123456,0.09989030465897715,0.050760741322477564,0.04910025266261544,18297,2.318,0.1,0.34735900169561446,0.17551885057826222,0.047811390222826544,0.347,,,,,,,,
table5,,doc_num_mod_12m,# Outpatient visits,1.9142192088873988,0.3140841197597746,0.05365030103578473,4.8628642988496424e-09,23441,1.914,0.314,1.0827336040064268,0.18207090706119622,2.7348712183794532e-09,1.083,,,,,,,,
table5,,er_num_mod_12m,# ER visits,0.46966150278433333,0.007434142595469906,0.016146600695275893,0.6452229461473198,23481,0.47,0.0074,0.02564986147617364,0.055632371324406175,0.6447555541339083,0.026,,,,,,,,
table5,,hosp_num_mod_12m,# Inpatient admissions,0.09748662757763414,0.006234793702132306,0.006157030391871859,0.311248685569056,23539,0.097,0.0062,0.021443225004430362,0.021127334761117497,0.3101288366854855,0.021,,,,,,,,
table6,,chl_chk_12m_ever,Blood cholesterol checked (ever),0.625034702341435,0.033331871207614466,0.0074283194985025934,7.2575939928016845e-06,23390,0.625,0.033,0.1142975404405584,0.025507492029089925,7.431501521937278e-06,0.114,,,,,,,,
table6,,dia_chk_12m_ever,Blood tested for high blood sugar/diab.,0.6041479898128036,0.026220704858755998,0.0074487410277665955,0.0004322249488479748,23374,0.604,0.026,0.09027932771243043,0.02557209778715884,0.0004149567571818391,0.09,,,,,,,,
table6,,mam_chk_12m_12mo,Mammogram within last 12m (women>=40),0.297713198799952,0.054743888595735236,0.012039101588950794,5.5179966190076395e-06,7927,0.298,0.055,0.18399550899030762,0.03984960121826637,3.8886163093998505e-06,0.187,,,,,,,,
table6,,pap_chk_12m_12mo,Pap test within last 12m (women),0.4059443290248572,0.05128082422940388,0.009695154634013391,1.2463316754864455e-07,13924,0.406,0.051,0.18264655522777298,0.034052508906458785,8.154604169696711e-08,0.183,,,,,,,,
